iter	Passed	Remaining
0	57	57693
1	58	28982
2	58	19419
3	58	14649
4	59	11773
5	59	9855
6	59	8495
7	60	7464
8	60	6693
9	61	6072
10	61	5559
11	62	5114
12	62	4739
13	62	4429
14	63	4154
15	63	3909
16	63	3696
17	65	3547
18	65	3372
19	65	3222
20	66	3088
21	66	2960
22	66	2843
23	67	2734
24	67	2636
25	67	2542
26	68	2456
27	68	2381
28	68	2308
29	69	2240
30	69	2176
31	69	2114
32	70	2059
33	70	2009
34	71	1959
35	71	1913
36	71	1868
37	72	1826
38	72	1788
39	72	1749
40	73	1713
41	73	1681
42	74	1649
43	74	1616
44	74	1589
45	75	1559
46	75	1535
47	76	1508
48	76	1485
49	76	1459
50	77	1436
51	77	1416
52	78	1397
53	78	1376
54	78	1356
55	79	1337
56	79	1319
57	80	1300
58	80	1284
59	80	1267
60	81	1250
61	81	1235
62	82	1219
63	82	1205
64	82	1190
65	83	1178
66	83	1163
67	83	1150
68	84	1138
69	84	1127
70	85	1113
71	85	1101
72	85	1088
73	86	1077
74	86	1066
75	86	1056
76	87	1046
77	87	1036
78	87	1025
79	88	1016
80	88	1006
81	89	997
82	89	985
83	89	976
84	89	967
85	90	962
86	90	954
87	91	947
88	91	939
89	92	931
90	92	925
91	92	917
92	93	909
93	93	902
94	93	895
95	94	887
96	94	880
97	94	873
98	95	867
99	95	860
100	95	854
101	96	849
102	96	843
103	97	837
104	97	831
105	97	825
106	98	819
107	98	813
108	98	807
109	99	802
110	99	796
111	99	790
112	99	784
113	100	780
114	100	775
115	101	770
116	101	764
117	101	760
118	102	756
119	102	752
120	102	747
121	103	742
122	103	738
123	103	734
124	104	730
125	104	727
126	105	722
127	105	719
128	106	715
129	106	713
130	106	708
131	107	705
132	107	702
133	108	698
134	108	695
135	108	691
136	109	688
137	109	686
138	110	683
139	110	680
140	111	677
141	111	673
142	111	670
143	112	667
144	112	664
145	113	661
146	113	657
147	113	654
148	114	651
149	114	647
150	114	644
151	114	641
152	115	640
153	116	637
154	116	635
155	116	632
156	117	629
157	117	626
158	117	623
159	118	620
160	118	616
161	118	614
162	119	611
163	119	608
164	119	606
165	120	603
166	120	601
167	120	598
168	121	596
169	121	595
170	122	593
171	122	591
172	123	589
173	123	586
174	123	583
175	124	581
176	124	578
177	124	576
178	125	574
179	125	572
180	126	570
181	126	568
182	126	565
183	127	563
184	127	560
185	127	558
186	127	556
187	128	553
188	128	552
189	129	550
190	129	548
191	129	546
192	130	544
193	130	543
194	131	541
195	131	538
196	131	536
197	132	534
198	132	533
199	132	531
200	133	529
201	133	527
202	133	525
203	134	523
204	134	521
205	134	519
206	135	518
207	135	516
208	136	515
209	136	514
210	137	513
211	137	512
212	138	510
213	138	509
214	139	508
215	139	506
216	140	505
217	140	504
218	140	502
219	141	501
220	141	499
221	142	498
222	142	497
223	143	495
224	143	493
225	143	492
226	144	490
227	144	488
228	144	487
229	144	485
230	145	484
231	145	482
232	146	481
233	146	480
234	147	478
235	147	477
236	148	476
237	148	474
238	148	473
239	148	471
240	149	469
241	149	468
242	149	466
243	150	465
244	150	464
245	151	462
246	151	461
247	151	460
248	152	459
249	152	457
250	153	456
251	153	455
252	154	454
253	154	453
254	154	452
255	155	450
256	155	449
257	155	448
258	156	446
259	156	446
260	157	445
261	157	443
262	158	442
263	158	441
264	158	440
265	159	439
266	159	437
267	159	436
268	160	435
269	160	434
270	161	433
271	161	431
272	161	430
273	162	429
274	162	428
275	162	426
276	163	426
277	163	424
278	163	423
279	164	422
280	164	421
281	165	420
282	165	419
283	165	418
284	166	417
285	166	415
286	167	415
287	167	414
288	168	413
289	168	412
290	168	411
291	169	410
292	169	409
293	169	407
294	170	407
295	170	406
296	171	405
297	171	404
298	171	403
299	172	401
300	172	400
301	173	399
302	173	398
303	173	397
304	174	396
305	174	395
306	174	394
307	175	393
308	175	392
309	175	391
310	176	390
311	176	389
312	176	388
313	177	387
314	177	386
315	177	384
316	178	383
317	178	382
318	178	381
319	179	380
320	179	379
321	179	378
